Transaction_ID,Date,Customer_ID,Customer_Segment,Region,Country,Product_Category,Product_Name,Units_Sold,Unit_Price,Revenue,Cost,Profit,Payment_Method,Invoice_Status,Discount_Applied (%),Tax (%),Net_Profit,Sales_Rep
TXN00012,01-05-2023,CUST6864,SMB,East,USA,Office Supplies,Pen,5,349.29,1746.45,1189.02,557.43,Net Banking,Pending,4.38,12.26,467.67,Diana
TXN00013,23-04-2023,CUST2853,Consumer,South,Germany,Furniture,Cabinet,2,359.01,718.02,462.71,255.31,Credit Card,Overdue,12.19,11.53,198.34,Frank
TXN00014,09-12-2023,CUST9164,Enterprise,North,India,Office Supplies,Notebook,2,270.16,540.32,396.78,143.54,Wallet,Overdue,15.23,8.09,111.84,Frank
TXN00015,07-10-2023,CUST9004,Enterprise,South,USA,Furniture,Cabinet,16,401.19,6419.04,4141.66,2277.38,Net Banking,Pending,13.92,16.16,1643.57,Diana
TXN00016,12-12-2023,CUST2986,SMB,East,Germany,Office Supplies,Envelope,9,348.56,3137.04,2246.19,890.85,UPI,Paid,13.51,14.56,658.31,Bob
TXN00017,31-05-2023,CUST6534,Corporate,South,UK,Office Supplies,Envelope,16,410.44,6567.04,5034.03,1533.01,Wallet,Paid,4.84,6.21,1368.22,Diana
TXN00018,06-02-2023,CUST8158,Consumer,North,UK,Office Supplies,Envelope,16,449.58,7193.28,6230.29,962.99,Credit Card,Overdue,18.71,15.21,663.75,Diana
TXN00019,11-09-2023,CUST3557,Consumer,East,India,Electronics,Laptop,14,278.88,3904.32,3153.01,751.31,Cash,Paid,3.52,5.23,686.95,Frank
TXN00020,04-10-2023,CUST5911,Enterprise,West,Germany,Office Supplies,Stapler,17,160.95,2736.15,2087.03,649.12,Net Banking,Overdue,12.73,8.26,519.7,Frank
TXN00021,07-02-2023,CUST4436,SMB,South,Germany,Office Supplies,Stapler,2,181.54,363.08,288.12,74.96,Credit Card,Paid,4.6,11.49,63.3,Diana
TXN00022,04-02-2023,CUST8679,Consumer,West,Germany,Furniture,Chair,14,458.28,6415.92,4562.02,1853.9,Credit Card,Paid,18.57,10.57,1350.06,Eve
TXN00023,05-04-2023,CUST4170,Enterprise,North,Germany,Office Supplies,Pen,1,165.29,165.29,107.58,57.71,Credit Card,Pending,18.72,14.05,40.32,Frank
TXN00024,07-10-2023,CUST8455,SMB,South,UK,Furniture,Cabinet,10,439.91,4399.1,3617.07,782.03,Credit Card,Paid,14.05,9.67,607.16,Eve
TXN00025,19-06-2023,CUST3806,Corporate,East,USA,Electronics,Smartwatch,13,49.98,649.74,390.85,258.89,Wallet,Paid,3.89,5.92,234.09,Frank
TXN00026,22-05-2023,CUST7002,SMB,East,Germany,Furniture,Table,19,238.14,4524.66,3451.38,1073.28,Cash,Pending,11.82,5.4,895.31,Diana
TXN00027,19-06-2023,CUST4854,Corporate,East,Germany,Electronics,Smartphone,8,387.3,3098.4,2059.65,1038.75,Cash,Overdue,1.71,5.67,963.1,Diana
TXN00028,16-12-2023,CUST5142,SMB,East,Germany,Electronics,Laptop,10,168.25,1682.5,1410.87,271.63,Net Banking,Pending,1.57,5.33,253.11,Eve
TXN00029,14-11-2023,CUST3838,SMB,North,Germany,Electronics,Smartphone,1,226.75,226.75,152.36,74.39,Credit Card,Paid,5.6,17.41,58,Eve
TXN00030,05-10-2023,CUST8004,SMB,East,Germany,Furniture,Desk,19,381.34,7245.46,4378.56,2866.9,Wallet,Paid,1.88,9.05,2558.43,Frank
TXN00031,23-07-2023,CUST7617,Enterprise,North,UK,Electronics,Laptop,5,205.27,1026.35,805.43,220.92,Cash,Pending,5.22,5.2,198.5,Charlie
TXN00032,06-04-2023,CUST5611,Enterprise,West,Germany,Office Supplies,Notebook,17,434.93,7393.81,5847.92,1545.89,Wallet,Pending,11.47,6.67,1277.29,Eve
TXN00033,28-06-2023,CUST6732,Enterprise,East,India,Electronics,Smartwatch,10,111.28,1112.8,759.14,353.66,Wallet,Overdue,7.55,5.51,308.94,Bob
TXN00034,04-02-2023,CUST9967,Consumer,South,USA,Furniture,Table,2,137.74,275.48,206.28,69.2,UPI,Paid,6.97,17.18,53.32,Diana
TXN00035,05-08-2023,CUST8164,Consumer,West,USA,Electronics,Smartphone,3,495.35,1486.05,1075.58,410.47,UPI,Paid,15.53,9.43,314.03,Frank
TXN00036,12-08-2023,CUST4440,SMB,North,UK,Electronics,Tablet,9,195.09,1755.81,1334.94,420.87,Wallet,Paid,6.4,16.64,328.38,Alice
TXN00037,10-04-2023,CUST1395,Consumer,North,UK,Electronics,Tablet,14,341.62,4782.68,3561.93,1220.75,UPI,Overdue,1.67,6.19,1126.06,Diana
TXN00038,25-01-2023,CUST6588,Enterprise,North,UK,Electronics,Tablet,13,466.16,6060.08,5407.25,652.83,UPI,Paid,14.74,12.1,489.25,Charlie
TXN00039,26-05-2023,CUST5846,Enterprise,North,USA,Furniture,Desk,17,59.55,1012.35,632.95,379.4,Cash,Pending,7.93,16.59,291.36,Bob
TXN00040,05-01-2023,CUST7172,Consumer,South,UK,Electronics,Smartphone,17,474.15,8060.55,7220.64,839.91,Wallet,Pending,14.16,11.26,639.8,Diana
TXN00041,01-07-2023,CUST5186,Corporate,South,UK,Office Supplies,Notebook,3,134.3,402.9,290.72,112.18,UPI,Paid,16.46,14.67,79.97,Charlie
TXN00042,14-12-2023,CUST1504,SMB,West,India,Electronics,Smartwatch,1,119.56,119.56,106.28,13.28,Wallet,Paid,19.4,5.56,10.11,Eve
TXN00043,21-03-2023,CUST6348,Enterprise,East,UK,Electronics,Laptop,15,318.41,4776.15,3862.59,913.56,Credit Card,Paid,13.94,9.99,707.67,Alice
TXN00044,12-01-2023,CUST2353,Enterprise,West,Germany,Furniture,Desk,8,93.14,745.12,591.67,153.45,UPI,Pending,5.32,9.68,131.22,Diana
TXN00045,11-07-2023,CUST7042,Corporate,East,India,Electronics,Smartphone,13,345.52,4491.76,2914.19,1577.57,Net Banking,Paid,18.81,10.42,1147.37,Eve
TXN00046,30-10-2023,CUST1009,Enterprise,South,USA,Office Supplies,Pen,5,22.92,114.6,81.7,32.9,Credit Card,Pending,19.75,6.96,24.56,Eve
TXN00047,09-10-2023,CUST5158,Consumer,South,UK,Office Supplies,Pen,13,41.12,534.56,326.64,207.92,Credit Card,Paid,1.13,16.24,172.19,Alice
TXN00048,16-07-2023,CUST6989,SMB,North,UK,Electronics,Smartphone,5,380.97,1904.85,1358.83,546.02,Cash,Pending,4.1,8.27,480.33,Eve
TXN00049,24-07-2023,CUST8939,Corporate,North,India,Furniture,Desk,8,20.87,166.96,125.13,41.83,Net Banking,Overdue,6.16,15.61,33.13,Diana
TXN00050,10-08-2023,CUST5858,Consumer,North,Germany,Office Supplies,Stapler,15,394.49,5917.35,4685.41,1231.94,Net Banking,Overdue,18.06,13.02,878.02,Bob
TXN00051,21-10-2023,CUST7241,Corporate,South,UK,Office Supplies,Stapler,2,180.65,361.3,272.49,88.81,Wallet,Pending,12.44,16.21,65.16,Eve
TXN00052,12-10-2023,CUST8043,Corporate,West,India,Furniture,Chair,5,490.22,2451.1,1832.9,618.2,Cash,Pending,12.67,8.12,496.04,Charlie
TXN00053,21-04-2023,CUST1760,SMB,East,Germany,Office Supplies,Stapler,16,324.03,5184.48,3393.57,1790.91,Credit Card,Overdue,17.49,11.7,1304.79,Bob
TXN00054,02-03-2023,CUST7777,SMB,East,India,Electronics,Laptop,10,96.74,967.4,606.18,361.22,Credit Card,Paid,9.22,7.68,302.73,Bob
TXN00055,19-03-2023,CUST8240,Corporate,North,UK,Electronics,Laptop,15,260.71,3910.65,2530.56,1380.09,Cash,Paid,5.54,15.48,1101.83,Alice
TXN00056,21-12-2023,CUST2276,Enterprise,East,UK,Office Supplies,Envelope,14,312.94,4381.16,3113.58,1267.58,UPI,Paid,1.25,6.92,1165.12,Charlie
TXN00057,07-01-2023,CUST6122,SMB,East,USA,Office Supplies,Stapler,13,434.94,5654.22,3993.26,1660.96,Net Banking,Overdue,2.1,14.59,1388.83,Diana
TXN00058,21-07-2023,CUST2062,Consumer,North,UK,Furniture,Table,12,124.28,1491.36,1048.24,443.12,Credit Card,Pending,15.78,11.48,330.35,Diana
TXN00059,21-04-2023,CUST8943,Enterprise,North,Germany,Office Supplies,Notebook,9,175.35,1578.15,1372.82,205.33,UPI,Overdue,7.12,17.82,156.73,Eve
TXN00060,16-10-2023,CUST2460,Corporate,North,USA,Furniture,Cabinet,16,88.73,1419.68,931.27,488.41,Credit Card,Overdue,1.03,5.24,458.05,Eve
TXN00061,05-02-2023,CUST6342,Corporate,South,Germany,Office Supplies,Envelope,15,410.37,6155.55,4169.59,1985.96,Net Banking,Pending,18.59,12.24,1418.88,Bob
TXN00062,22-06-2023,CUST7469,Corporate,South,Germany,Office Supplies,Envelope,1,370.76,370.76,281.39,89.37,Credit Card,Pending,15.36,6.13,71.01,Frank
TXN00063,19-05-2023,CUST7988,SMB,East,India,Furniture,Table,10,278.82,2788.2,2132.07,656.13,UPI,Paid,13.69,6.14,531.53,Eve
TXN00064,25-11-2023,CUST3832,Consumer,East,UK,Furniture,Cabinet,3,180.95,542.85,477.09,65.76,Wallet,Pending,2.49,14.5,54.82,Alice
TXN00065,17-03-2023,CUST9162,SMB,North,Germany,Furniture,Desk,8,415.69,3325.52,2744.05,581.47,Wallet,Pending,16.5,7.42,449.5,Charlie
TXN00066,19-03-2023,CUST8577,Corporate,West,India,Electronics,Laptop,18,410.13,7382.34,5401.96,1980.38,Net Banking,Paid,6.03,14.72,1587.03,Alice
TXN00067,02-06-2023,CUST3192,Consumer,East,UK,Furniture,Table,8,122.22,977.76,745.89,231.87,Net Banking,Overdue,14.61,14.02,170.24,Diana
TXN00068,15-01-2023,CUST6742,Consumer,North,Germany,Furniture,Cabinet,4,498.87,1995.48,1647.71,347.77,Cash,Paid,15.57,6.86,273.48,Diana
TXN00069,27-03-2023,CUST5612,SMB,South,India,Furniture,Table,13,64.21,834.73,712.81,121.92,Wallet,Overdue,15.95,6.95,95.35,Diana
TXN00070,28-11-2023,CUST4756,Corporate,East,UK,Office Supplies,Stapler,4,275.93,1103.72,745.61,358.11,Cash,Overdue,19.18,9.45,262.07,Frank
TXN00071,19-07-2023,CUST7166,SMB,South,USA,Office Supplies,Envelope,13,78.17,1016.21,640.45,375.76,Credit Card,Overdue,14.52,12.71,280.38,Diana
TXN00072,22-12-2023,CUST4876,Enterprise,East,USA,Electronics,Smartwatch,9,217.82,1960.38,1609.34,351.04,Credit Card,Pending,18.21,6.6,268.17,Eve
TXN00073,12-12-2023,CUST2645,Enterprise,South,UK,Electronics,Smartphone,19,299.72,5694.68,4098.47,1596.21,Credit Card,Paid,6.7,15.44,1259.32,Eve
TXN00074,03-06-2023,CUST8970,SMB,West,India,Furniture,Cabinet,6,179.71,1078.26,759.19,319.07,UPI,Overdue,9.04,7.92,267.24,Diana
TXN00075,08-09-2023,CUST2205,Enterprise,North,UK,Furniture,Chair,1,187.57,187.57,145.21,42.36,UPI,Pending,13.27,7.31,34.05,Diana
TXN00076,27-12-2023,CUST1688,Enterprise,South,USA,Office Supplies,Pen,8,256.08,2048.64,1595.1,453.54,Cash,Pending,15,7.73,355.71,Charlie
TXN00077,14-11-2023,CUST3079,Corporate,North,India,Electronics,Smartphone,16,286.77,4588.32,2843.44,1744.88,Net Banking,Overdue,10.55,11.95,1374.28,Alice
TXN00078,24-04-2023,CUST6797,SMB,East,Germany,Electronics,Smartwatch,7,379.09,2653.63,1808.95,844.68,Net Banking,Pending,10.53,15.41,639.28,Diana
TXN00079,15-10-2023,CUST4462,Consumer,West,India,Electronics,Tablet,3,123.23,369.69,296.33,73.36,Cash,Pending,6.79,12.4,59.9,Charlie
TXN00080,07-04-2023,CUST4675,SMB,West,USA,Office Supplies,Envelope,14,305.57,4277.98,3602.29,675.69,Wallet,Paid,2.82,10.28,589.13,Bob
TXN00081,07-01-2023,CUST5425,SMB,North,UK,Electronics,Tablet,16,98.9,1582.4,1226.22,356.18,Wallet,Pending,17.85,15.63,246.87,Diana
TXN00082,11-01-2023,CUST5841,SMB,South,UK,Office Supplies,Stapler,12,417.02,5004.24,3520.77,1483.47,Credit Card,Pending,17.22,7.85,1131.62,Bob
TXN00083,08-12-2023,CUST2387,Enterprise,North,USA,Furniture,Desk,14,240.82,3371.48,2207.08,1164.4,UPI,Overdue,10.25,14.64,892.05,Bob
TXN00084,25-08-2023,CUST2304,SMB,North,USA,Furniture,Cabinet,14,492.36,6893.04,5222.91,1670.13,Cash,Pending,5.45,5.24,1496.36,Bob
TXN00085,08-05-2023,CUST6475,Consumer,South,USA,Electronics,Smartphone,6,416.57,2499.42,1654.43,844.99,UPI,Pending,2.74,16.7,684.59,Frank
TXN00086,07-08-2023,CUST5263,Corporate,West,India,Electronics,Smartphone,7,290.91,2036.37,1733.83,302.54,Cash,Pending,10.38,5.61,255.93,Diana
TXN00087,06-11-2023,CUST2386,Consumer,East,India,Office Supplies,Notebook,11,151.46,1666.06,1177.41,488.65,Credit Card,Overdue,5.94,12.36,402.81,Bob
TXN00088,24-02-2023,CUST7766,Enterprise,South,USA,Electronics,Smartwatch,1,142.26,142.26,108.4,33.86,Net Banking,Overdue,16.83,16,23.66,Charlie
TXN00089,31-12-2023,CUST7122,Corporate,North,USA,Furniture,Chair,9,46.82,421.38,344.88,76.5,Credit Card,Paid,13.77,10.65,58.94,Charlie
TXN00090,11-05-2023,CUST2252,Enterprise,West,UK,Furniture,Table,2,60.52,121.04,84.05,36.99,Net Banking,Overdue,19.24,15.27,25.31,Alice
TXN00091,07-11-2023,CUST8982,Enterprise,South,Germany,Office Supplies,Envelope,17,332.8,5657.6,4569.55,1088.05,Credit Card,Pending,9.79,7.88,904.19,Bob
TXN00092,31-12-2023,CUST9238,Enterprise,South,Germany,Office Supplies,Pen,7,26.63,186.41,150.85,35.56,Credit Card,Overdue,18.49,17.62,23.88,Eve
TXN00093,23-03-2023,CUST4294,Corporate,West,UK,Office Supplies,Notebook,10,325.83,3258.3,2590.51,667.79,Net Banking,Paid,1.54,14.05,565.13,Bob
TXN00094,02-07-2023,CUST8126,Enterprise,East,UK,Electronics,Smartwatch,13,316.69,4116.97,3564.45,552.52,UPI,Pending,8.35,11.01,450.63,Bob
TXN00095,08-09-2023,CUST4810,SMB,East,USA,Electronics,Laptop,17,206.95,3518.15,2617.37,900.78,Credit Card,Overdue,7.97,6.19,777.67,Diana
TXN00096,06-03-2023,CUST4760,SMB,North,USA,Furniture,Table,4,360.62,1442.48,1120.42,322.06,Credit Card,Paid,19.75,10.56,231.16,Alice
TXN00097,10-12-2023,CUST2828,Consumer,North,UK,Furniture,Cabinet,14,304.39,4261.46,3712.23,549.23,UPI,Paid,14.87,5.84,440.25,Diana
TXN00098,15-12-2023,CUST6429,Consumer,East,India,Furniture,Table,11,96.5,1061.5,707.11,354.39,Credit Card,Pending,15.59,9.55,270.57,Eve
TXN00099,23-02-2023,CUST8214,SMB,North,India,Office Supplies,Envelope,17,95.21,1618.57,1163.55,455.02,UPI,Pending,13.92,7,364.26,Charlie
TXN00100,26-09-2023,CUST8287,Consumer,East,India,Electronics,Smartwatch,14,431.46,6040.44,4453.19,1587.25,Net Banking,Overdue,2.59,16.55,1290.25,Alice
TXN00101,14-08-2023,CUST1954,Corporate,West,Germany,Office Supplies,Notebook,8,350.9,2807.2,1725.4,1081.8,UPI,Pending,19.24,6.42,817.57,Diana
TXN00102,22-03-2023,CUST6233,Enterprise,North,Germany,Furniture,Chair,19,414.09,7867.71,5541.56,2326.15,UPI,Overdue,17.29,14.54,1644.22,Charlie
TXN00103,02-12-2023,CUST4239,Enterprise,North,UK,Office Supplies,Envelope,9,173.66,1562.94,1049.68,513.26,Cash,Pending,2.12,14.09,431.59,Diana
TXN00104,07-01-2023,CUST1556,Corporate,North,UK,Office Supplies,Stapler,10,73.15,731.5,512.44,219.06,UPI,Pending,16.64,11.6,161.43,Bob
TXN00105,12-08-2023,CUST2136,Consumer,North,Germany,Office Supplies,Notebook,13,392.12,5097.56,3222.14,1875.42,UPI,Paid,19.26,9.44,1371.27,Diana
TXN00106,01-12-2023,CUST6084,Corporate,West,Germany,Furniture,Desk,17,387.78,6592.26,5356.68,1235.58,Credit Card,Pending,12.42,5.59,1021.63,Bob
TXN00107,27-09-2023,CUST5799,SMB,North,Germany,Office Supplies,Stapler,12,22.05,264.6,160.52,104.08,Net Banking,Overdue,13.67,10.8,80.15,Frank
TXN00108,14-08-2023,CUST4356,Enterprise,North,UK,Electronics,Smartphone,7,268.24,1877.68,1591.85,285.83,Net Banking,Pending,15.46,7.99,222.33,Charlie
TXN00109,27-01-2023,CUST4778,Consumer,South,Germany,Electronics,Smartphone,15,215.67,3235.05,2560.73,674.32,Net Banking,Paid,8.85,9.06,558.96,Bob
TXN00110,15-01-2023,CUST2980,SMB,West,India,Electronics,Smartwatch,12,285.75,3429,2542.47,886.53,Net Banking,Pending,4.07,6.19,797.81,Charlie
TXN00111,23-06-2023,CUST4633,Enterprise,East,UK,Electronics,Smartwatch,12,25.94,311.28,272.76,38.52,Net Banking,Pending,9.24,5.02,33.21,Alice
TXN00112,24-08-2023,CUST2875,Enterprise,North,USA,Electronics,Smartwatch,2,400.8,801.6,555.6,246,Cash,Paid,0.23,5.94,230.86,Bob
TXN00113,05-04-2023,CUST9357,Enterprise,East,India,Electronics,Smartphone,6,454.83,2728.98,2230.36,498.62,Net Banking,Paid,4.84,17.83,389.89,Frank
TXN00114,27-03-2023,CUST3720,Corporate,West,Germany,Furniture,Desk,1,263.68,263.68,165.16,98.52,Cash,Pending,0.66,6.02,91.98,Frank
TXN00115,13-04-2023,CUST8014,Corporate,South,USA,Furniture,Cabinet,2,30.18,60.36,48.36,12,Net Banking,Paid,14.13,5.41,9.75,Frank
TXN00116,14-03-2023,CUST1552,Corporate,West,Germany,Furniture,Desk,15,409.26,6138.9,3830.89,2308.01,Wallet,Pending,16.35,10.88,1720.6,Charlie
TXN00117,07-05-2023,CUST5904,Enterprise,South,USA,Office Supplies,Notebook,12,131.08,1572.96,1019.06,553.9,Cash,Overdue,4.38,17.69,435.95,Diana
TXN00118,22-06-2023,CUST2927,Consumer,East,India,Office Supplies,Envelope,19,89.22,1695.18,1027.72,667.46,Net Banking,Pending,6.65,12.05,547.99,Charlie
TXN00119,11-05-2023,CUST9946,SMB,North,India,Furniture,Cabinet,15,136.26,2043.9,1510.01,533.89,Cash,Overdue,8.32,16,411.16,Eve
TXN00120,04-01-2023,CUST4453,Enterprise,West,Germany,Furniture,Chair,19,293.55,5577.45,4080.38,1497.07,Cash,Pending,9.73,16.35,1130.45,Bob
TXN00121,19-09-2023,CUST2394,Corporate,South,India,Office Supplies,Pen,18,319.46,5750.28,4714.85,1035.43,Net Banking,Pending,14.32,16.82,737.94,Bob
TXN00122,14-01-2023,CUST7477,Corporate,East,India,Electronics,Laptop,13,224.21,2914.73,1834,1080.73,Cash,Overdue,11.86,12.53,833.2,Diana
TXN00123,10-05-2023,CUST4814,Corporate,North,UK,Electronics,Smartphone,2,430.41,860.82,518.82,342,Credit Card,Paid,4.74,8.05,299.56,Bob
TXN00124,14-07-2023,CUST1629,Corporate,West,USA,Electronics,Laptop,12,416.15,4993.8,3641.81,1351.99,Wallet,Overdue,18.97,8.28,1004.81,Frank
TXN00125,11-10-2023,CUST4192,SMB,North,UK,Electronics,Smartwatch,5,393.08,1965.4,1595.15,370.25,Wallet,Overdue,17.37,7.68,282.44,Eve
TXN00126,30-11-2023,CUST1968,SMB,North,Germany,Furniture,Chair,1,69.83,69.83,51.37,18.46,Cash,Overdue,6.32,11.59,15.29,Frank
TXN00127,12-01-2023,CUST5585,Enterprise,North,USA,Office Supplies,Stapler,2,168.33,336.66,300.28,36.38,Net Banking,Pending,6.85,11.92,29.85,Frank
TXN00128,28-10-2023,CUST2969,Corporate,West,UK,Furniture,Chair,1,368.11,368.11,238.11,130,Cash,Overdue,3.54,14,107.84,Bob
TXN00129,24-04-2023,CUST8705,Enterprise,East,Germany,Electronics,Smartwatch,8,399.8,3198.4,2800.53,397.87,Credit Card,Overdue,18.82,15.75,272.12,Eve
TXN00130,27-12-2023,CUST9125,Enterprise,South,USA,Furniture,Cabinet,9,434.55,3910.95,3512.04,398.91,Cash,Paid,1.81,8.75,357.42,Charlie
TXN00131,20-11-2023,CUST4173,Corporate,West,USA,Office Supplies,Notebook,2,383.52,767.04,643.81,123.23,Net Banking,Paid,16.36,6.56,96.31,Frank
TXN00132,30-03-2023,CUST3772,SMB,North,Germany,Furniture,Cabinet,15,350.78,5261.7,3770.36,1491.34,Credit Card,Paid,4.75,9.85,1280.58,Diana
TXN00133,12-04-2023,CUST8010,Enterprise,South,USA,Furniture,Table,14,255.22,3573.08,2725.22,847.86,UPI,Pending,18.28,15.58,584.92,Alice
TXN00134,12-01-2023,CUST6252,Corporate,West,India,Office Supplies,Envelope,4,307.87,1231.48,1021.47,210.01,UPI,Overdue,10.42,15.69,158.61,Charlie
TXN00135,02-12-2023,CUST6243,SMB,North,Germany,Office Supplies,Stapler,15,106.61,1599.15,1189.38,409.77,Net Banking,Pending,3.33,13.03,344.51,Eve
TXN00136,21-02-2023,CUST4610,Consumer,East,Germany,Office Supplies,Envelope,16,53.92,862.72,703.37,159.35,UPI,Paid,19.53,15.7,108.1,Frank
TXN00137,20-09-2023,CUST8052,SMB,East,UK,Electronics,Laptop,10,459.7,4597,3343.67,1253.33,Credit Card,Paid,12.66,17.37,904.52,Frank
TXN00138,28-04-2023,CUST2300,Corporate,West,India,Furniture,Chair,15,309.38,4640.7,3356.66,1284.04,Cash,Pending,18,9.59,951.94,Bob
TXN00139,13-12-2023,CUST2316,Enterprise,South,Germany,Office Supplies,Envelope,7,337.1,2359.7,1483.45,876.25,Wallet,Pending,9.04,12.63,696.37,Alice
TXN00140,18-04-2023,CUST2249,Consumer,East,India,Electronics,Laptop,16,163.01,2608.16,1745.05,863.11,Net Banking,Pending,5.14,13.22,710.51,Alice
TXN00141,11-09-2023,CUST6016,Corporate,West,UK,Office Supplies,Pen,18,208.12,3746.16,2728.93,1017.23,Credit Card,Paid,0.32,9.43,918.36,Frank
TXN00142,19-01-2023,CUST6699,Corporate,South,USA,Office Supplies,Pen,14,139.8,1957.2,1553.21,403.99,Wallet,Overdue,8.02,9.77,335.29,Frank
TXN00143,15-07-2023,CUST2804,Consumer,West,USA,Electronics,Smartwatch,8,441.24,3529.92,2807.22,722.7,Wallet,Paid,9.14,7.47,607.59,Bob
TXN00144,03-08-2023,CUST6291,Corporate,South,India,Office Supplies,Notebook,8,294.43,2355.44,1475.99,879.45,Cash,Paid,12.7,14.81,654.05,Bob
TXN00145,07-06-2023,CUST1632,SMB,West,Germany,Electronics,Smartwatch,12,490.81,5889.72,4372.92,1516.8,Cash,Overdue,7.99,6.98,1298.19,Eve
TXN00146,26-12-2023,CUST9555,Consumer,North,USA,Electronics,Smartwatch,6,135.95,815.7,682.23,133.47,Credit Card,Paid,16.52,15.17,94.52,Bob
TXN00147,22-05-2023,CUST5576,SMB,South,India,Furniture,Chair,2,469.11,938.22,718.81,219.41,Net Banking,Overdue,7.94,10.81,180.15,Diana
TXN00148,07-11-2023,CUST9453,SMB,South,UK,Office Supplies,Notebook,5,201.61,1008.05,756.39,251.66,Credit Card,Pending,10.79,13.16,194.96,Frank
TXN00149,04-08-2023,CUST8629,Corporate,East,Germany,Office Supplies,Envelope,14,49.65,695.1,501.09,194.01,UPI,Overdue,13.9,9.5,151.17,Diana
TXN00150,13-09-2023,CUST6656,Corporate,North,India,Furniture,Chair,4,307.12,1228.48,788.39,440.09,Cash,Overdue,19.06,15.73,300.18,Eve
TXN00151,27-04-2023,CUST3529,Enterprise,North,USA,Electronics,Tablet,4,49.18,196.72,163.87,32.85,Wallet,Paid,18.73,16.39,22.32,Eve
TXN00152,12-11-2023,CUST3494,Corporate,West,India,Office Supplies,Notebook,2,328.6,657.2,424.29,232.91,Net Banking,Paid,15.62,10.98,174.95,Bob
TXN00153,24-09-2023,CUST1689,Consumer,East,Germany,Office Supplies,Pen,19,93.63,1778.97,1107.21,671.76,Wallet,Pending,5.31,7.31,589.59,Diana
TXN00154,07-04-2023,CUST2638,Enterprise,North,India,Office Supplies,Envelope,4,268.25,1073,780.96,292.04,Cash,Overdue,9,7.53,245.74,Charlie
TXN00155,02-04-2023,CUST2549,SMB,North,India,Furniture,Chair,2,75.56,151.12,109.65,41.47,Cash,Pending,13.62,7.47,33.15,Eve
TXN00156,06-03-2023,CUST7356,Corporate,South,India,Electronics,Smartphone,18,41.66,749.88,459.52,290.36,Credit Card,Overdue,5.32,13.4,238.07,Eve
TXN00157,04-11-2023,CUST6887,SMB,North,USA,Furniture,Desk,2,169.09,338.18,277.72,60.46,Net Banking,Paid,12.28,16.17,44.46,Bob
TXN00158,21-01-2023,CUST3672,Consumer,West,India,Electronics,Smartphone,1,406.35,406.35,253.13,153.22,Credit Card,Pending,18.61,8.29,114.37,Eve
TXN00159,11-10-2023,CUST9906,SMB,South,Germany,Office Supplies,Notebook,8,121.21,969.68,840.54,129.14,Cash,Overdue,2.11,17.85,103.85,Eve
TXN00160,08-01-2023,CUST5940,Enterprise,North,UK,Office Supplies,Pen,13,403.04,5239.52,3309.33,1930.19,Credit Card,Paid,10.17,10.04,1559.81,Frank
TXN00161,16-08-2023,CUST5531,SMB,East,UK,Office Supplies,Envelope,19,95.31,1810.89,1139.99,670.9,UPI,Pending,1.65,11.69,582.7,Alice
TXN00162,11-08-2023,CUST4839,Enterprise,North,India,Furniture,Cabinet,18,15.11,271.98,184.03,87.95,Wallet,Pending,1.39,17.48,71.57,Frank
